PPS TN,Project,Description,Sub-Project,Machine,Tool No.,Area,Step,STD,MAX 8H,Planned,Realized,Backlog,Open,Monday,,,,,,Tuesday,,,,,,Wednesday,,,,,,Thursday,,,,,,Friday,,,,,,Saturday,,,,,,,Planned Production Output,,,,,,,,,,,,,,,,,,,Missed Parts Calculation,,,,,,,,,,,,,,,,,,,Planned until now,EFF per Project,,,,,Missed Parts Calculation,,,,,,,,,,,,,,,,,,,STD,,Daily SAP,,,,,,
,,,,,,,,,,,,,,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,,Shift 1,Shift 2,Shift 3,Shift 4,Shift 5,Shift 6,Shift 7,Shift 8,Shift 9,Shift 10,Shift 11,Shift 12,Shift 13,Shift 14,Shift 15,Shift 16,Shift 17,Shift 18,,Shift 1,Shift 2,Shift 3,Shift 4,Shift 5,Shift 6,Shift 7,Shift 8,Shift 9,Shift 10,Shift 11,Shift 12,Shift 13,Shift 14,Shift 15,Shift 16,Shift 17,Shift 18,Adherance,Total,Time used,,,,,Shift 1,Shift 2,Shift 3,Shift 4,Shift 5,Shift 6,Shift 7,Shift 8,Shift 9,Shift 10,Shift 11,Shift 12,Shift 13,Shift 14,Shift 15,Shift 16,Shift 17,Shift 18,,,,lundi,mardi,mercredi,jeudi,vendredi,samedi,Total
249934,Boxster,MOD. DZF F. 983 279 C / 983 001_TN,Boxster New,A.S390,619C,Molding,2,0.32,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
249934,Boxster,MOD. DZF F. 983 279 C / 983 001_TN,Boxster New,,,Pre-Assembly,,0.4,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
243908,T7,Mod. DCC_WS/BR L:1055MM PUR 190_TN,T7,SKM Round1,180°,Assembly,F,0.26,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.16,,0,0,0,0,0,,0
243908,T7,Mod. DCC_WS/BR L:1055MM PUR 190_TN,T7,A.S947,373F,Molding,1,0.31,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
243908,T7,Mod. DCC_WS/BR L:1055MM PUR 190_TN,T7,,,Pre-Assembly,,0.4,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
243909,T7,Mod. DCC_WSBL/BRBL L:1055MM PUR 190_TN,T7,SKM Round1,180°,Assembly,F,0.26,,"1,600","1,708",-108,-108,0,,0,,0,,0,,0,,0,,0,,800,,800,"1,458",0,250,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,800,800,,,,,,,,,,,0,0,0,0,0,0,0,800,-658,-250,0,0,0,0,0,0,0,,800,"1,600",7.51,,,,,0,0,0,0,0,0,0,800,142,-108,-108,-108,-108,-108,-108,-108,-108,,,1.16,,0,0,0,1100,0,,1100
243909,T7,Mod. DCC_WSBL/BRBL L:1055MM PUR 190_TN,T7,A.S947,373F,Molding,1,0.31,,"1,600","1,858",-258,-258,0,,0,,0,,0,,0,,0,,0,,800,372,800,"1,386",0,100,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,800,800,,,,,,,,,,,0,0,0,0,0,0,0,428,-586,-100,0,0,0,0,0,0,0,,428,"1,600",9.54,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,1100,0,,1100
243909,T7,Mod. DCC_WSBL/BRBL L:1055MM PUR 190_TN,T7,,,Pre-Assembly,,0.95,,"1,600","1,625",-25,-25,0,,0,,0,,0,,0,,0,,0,,800,550,800,"1,075",0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,800,800,,,,,,,,,,,0,0,0,0,0,0,0,250,-275,0,0,0,0,0,0,0,0,,250,"1,600",25.73,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,1100,0,,1100
243921,EN,Mod. DCC1_3WA 902 E_902 P_TN,Tiguan / Passat EN,SKM Transf.,90°,Assembly,F,0.26,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.57,,0,0,0,0,0,,0
243921,EN,Mod. DCC1_3WA 902 E_902 P_TN,Tiguan / Passat EN,A.S243,357I,Molding,1,0.28,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
