,,Machines,Sigma 688 / Alpha 488,Alpha 550 / Alpha 433,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,SKM DCPC Crimp (Crimp and Ass),Connector Assembly Station,Wire Rolling & Taping Station,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,"ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13",ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,SKM Seal and outer Housing Assembly DCC,SKM Seal and outer Housing Assembly DCC,,TSK T1500,TSK T1500,TSK T1500,Cutting Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Twisted Wires 1xDCC Modul 9Y4286 N,Q",,,,,,6.95,,,,,,12,,,5.44,,,,,,5.93,,,,12.41,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.32,1.96
21,"Twisted Wires 1xDCC Modul 9Y4286 M,P",,,,,,6.92,,,,,,12,,,5.44,,,,,,5.93,17.52,,,,,,,,,30,,,,,,,,,16.29,,,,,16.29,,,,,,,,,18.72,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.48,2.64
22,"Twisted Wires 1xDCC Modul 9Y4286 M,P",,,,,,6.95,,,,,,12,,,5.44,,,,,,5.93,,,,12.41,,,,,,20,,,,,,,,,,,,16.29,,,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.32,1.96
23,"Twisted Wires 1xDCC Modul 9Y4286 N,Q",,,,,,6.92,,,,,,12,,,5.44,,,,,,5.93,17.52,,,,,,,,,30,,,,,,,,,16.29,,,,,16.29,,,,,,,,,,,,18.72,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.48,2.64
24,"Twisted Wires 1xDCC Modul 512 AC, 513 AC",,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.57,1.19
25,"Single Wires 1xDCC Modul 512 AC,BC",,,3.22,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.03,0.72
26,"Twisted Wires 1xDCC Modul 512, 513",,6.31,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.12,0.9
27,"Twisted Wires 1xDCC Modul 510 AB,BB",,6.19,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.09,0.93
28,"Twisted Wires 1xDCC Modul 511 AB,BB",,6.19,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.09,0.93
29,4 Wire Jacket 2xDCC Modul 511 BB,,,,,6.59,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.97,1.8
30,7 Wire Jacket 2xDCC Modul 511 AB,,,,,,,,6.82,,,,12,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.08,1.87
31,2 Wire Jacket 1xDCC Modul 510 BB,,,,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.24,0.74
32,5 Wire Jacket 1xDCC Modul 510 AB,,,,,,6.82,,,,,8.12,,,,10.88,,,9.04,,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.56,1.21
33,5 Wire Jacket 1xDCC Modul T3-510 AA,,,,,,7.43,,,,,8.12,,,,10.88,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.57,1.24
34,7 Wire Jacket 2xDCC Modul T3-511 AA,,,,,,,,7.5,,,,12,,,,,22.81,,20.88,,,,,,,,,,,,20,,,35.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.59,2.31
35,4 Wire Jacket 2xDCC Modul T3-510 AA,,,,,6.38,,,,,,8.12,,,,,,,18.08,,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,,,,,,,,,20,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.07,1.83
36,4 Wire Jacket 2xDCC Modul T3-511 AA,,,,,6.45,,,,,,8.12,,,,,,,18.08,,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,,,,,20,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.14,1.84
37,4 Wire Jacket 2xDCC Modul T3-512 AA,,,,,5.91,,,,,,8.12,,,,,,,18.08,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,20,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.41,1.84
38,4 Wire Jacket 2xDCC Modul T3-513 AA,,,,,5.91,,,,,,8.12,,,,,,,18.08,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,20,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.41,1.84
39,Twisted Wires 1xDCC Modul T3-512 AA,,6.61,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.06,0.97
40,Twisted Wires 1xDCC Modul T3-513 AA,,6.61,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.06,0.97
41,Single Wires 1xDCC Modul T3-512 AA,,,3.3,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.11,0.72
42,"4 Wire Jacket 1xDCC Modul 983004 _,A",,,,,6.54,,,,,,8.12,,,,,,,,10.44,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.61,1.06
43,8 Wire Jacket 1xDCC Modul 983003,,,,,,,,,6.53,,,,16,,5.44,13.4,,,10.44,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.32,1.51
44,4 Wire Jacket 1xDCC Modul 983002,,,,,6.68,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.35,1.04
45,4 Wire Jacket 1xDCC Modul 983001,,,,,6.33,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,1.03
46,"Twisted Wires 1xDCC Modul 9J0, 9J1 HL",,6.9,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.71,0.91
47,"Twisted Wires 1xDCC Modul 9J0, 9J1 HR",,6.74,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.55,0.91
48,"Twisted Wires 1xDCC Modul 9J1286 _,C",,6.7,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.32,0.92
49,"Twisted Wires 1xDCC Modul 9J1286 _,C",,6.59,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,0.91
50,"Twisted Wires 1xDCC Modul 9J1286 B,E",,6.53,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.15,0.92
51,"Twisted Wires 1xDCC Modul 9J1286 B,E",,6.52,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.33,0.91
52,6 Wire Jacket 3xDCC Modul 9J1289 D,,,,,,,5.78,,,,,12,,,5.44,,,,31.32,,,,,,,,,,,,30,,,,,,,,,16.29,,,,,16.29,,,,,,,,,,,,18.72,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.21,2.75
53,6 Wire Jacket 3xDCC Modul 9J1289 E,,,,,,,5.78,,,,,12,,,5.44,,,,31.32,,,,,,,,,,,,30,,,,,,,,,16.29,,,,,16.29,,,,,,,,,18.72,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.21,2.75
54,4 Wire Jacket 2xDCC Modul 9J1206 _,,,,,6.23,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.04,1.83
55,Twisted Wires 1xDCC Modul 9J1206 A,,6.69,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.31,0.92
56,Twisted Wires 1xDCC Modul 9J1206 A,,6.71,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.33,0.92
57,4 Wire Jacket 2xDCC Modul 9J1206 C,,,,,6.23,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.04,1.83
58,Twisted Wires 1xDCC Modul 9J1206 D,,6.52,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.14,0.92
59,Twisted Wires 1xDCC Modul 9J1206 D,,6.54,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.16,0.92
60,6 Wire Jacket 1xDCC Modul 9J1279 C,,,,,,,6.45,,,,,12,,,9.93,13.4,,9.04,,,,,,,,,,,,,10,,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,1.45
61,6 Wire Jacket 1xDCC Modul 976279 A,,,,,,,6.26,,,,,12,,,9.93,,,9.04,,,,,,,,,,,,,10,,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.93,1.25
62,10 Wire Jacket 1xDCC Modul 976286 _,,,,,,,,,,6.31,,,,20,26.46,,22.81,,10.44,,,,,,,,,,,,10,,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.72,2.06
63,10 Wire Jacket 1xDCC Modul 976286 A,,,,,,,,,,6.22,,,,20,26.46,,22.81,,10.44,,,,,,,,,,,,10,,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.63,2.06
64,4 Wire Jacket 2xDCC Modul 976289 B,,,,,6.39,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.77,1.8
65,6 Wire Jacket 3xDCC Modul 976289 H,,,,,,,6.21,,,,,12,,,5.44,,,18.08,10.44,,,,,,,,,,,,30,,,17.91,,,,,,16.29,,,,,,,,,,,,,,,18.72,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.46,2.74
66,6 Wire Jacket 3xDCC Modul 976289 J,,,,,,,6.21,,,,,12,,,5.44,,,18.08,10.44,,,,,,,,,,,,30,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,18.72,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.55,2.44
67,4 Wire Jacket 2xDCC Modul 976289 N,,,,,5.79,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,,,16.29,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.02,1.88
68,4 Wire Jacket 2xDCC Modul 976289 P,,,,,5.79,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,,,16.29,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.02,1.88
69,4 Wire Jacket 2xDCC Modul 976289 Q,,,,,5.73,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.11,1.79
