,,Machines,Sigma 688 / Alpha 488,Alpha 550 / Alpha 433,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,SKM DCPC Crimp (Crimp and Ass),Connector Assembly Station,Wire Rolling & Taping Station,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,"ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13",ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,SKM Seal and outer Housing Assembly DCC,SKM Seal and outer Housing Assembly DCC,,TSK T1500,TSK T1500,TSK T1500,Cutting Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Twisted Wires 1xDCC Modul 9Y4279 AD,AE,AF",,7.18,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06,1
11,"Twisted Wires 1xDCC Modul 9Y4279 AD,AE,AF",,7.3,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,0.95
12,"Twisted Wires 1xDCC Modul 9Y4279 AA,AD",,7.29,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.48,0.89
13,"Twisted Wires 1xDCC Modul 9Y4279 AB,AC,AE,AF",,7.26,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.36,1.04
14,"Twisted Wires 1xDCC Modul 9Y4279 AA,AD",,7.19,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.09,0.95
15,"Twisted Wires 1xDCC Modul 9Y4279 AB,AC,AE,AF",,7.22,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.32,1.04
16,"Twisted Wires 1xDCC Modul 9Y4286 M,N",,7.13,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.58,0.98
17,"Twisted Wires 1xDCC Modul 9Y4286 M,N",,7.15,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.96,0.92
18,"Twisted Wires 1xDCC Modul 9Y4286 P,Q",,7.18,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06,1
19,"Twisted Wires 1xDCC Modul 9Y4286 P,Q",,,,,6.95,,,,,,8.12,,,,,,,,,,5.93,,,,12.41,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,1.8
